CODE	URL
34.0	http://hl7.org/fhir/sid/icd-9-cm
38.0	http://hl7.org/fhir/sid/icd-9-cm
38.12	http://hl7.org/fhir/sid/icd-9-cm
M10.09	http://hl7.org/fhir/sid/icd-10-cm
M10.9	http://hl7.org/fhir/sid/icd-10-cm
M11.20	http://hl7.org/fhir/sid/icd-10-cm
